feature,importance,category,rank
avg_discount_pct,4960201912.0,Bakery,1
days_from_holiday,2764475884.0,Bakery,2
rolling_mean_7,2714204454.0,Bakery,3
promo_intensity,2282540984.0,Bakery,4
ets_level,1555109164.0,Bakery,5
days_since_promo,1335002990.0,Bakery,6
is_post_holiday,1200346052.0,Bakery,7
days_to_holiday,594122230.0,Bakery,8
lag_7,335826000.0,Bakery,9
final_price,321982530.0,Bakery,10
day_of_week_cos,280239620.0,Bakery,11
rolling_mean_28,276194530.0,Bakery,12
precipitation,224950830.0,Bakery,13
lag_28,200431250.0,Bakery,14
oos_loss_share,192146590.0,Bakery,15
day_of_week,182485680.0,Bakery,16
day_of_week_sin,171081620.0,Bakery,17
holiday_flag,139168100.0,Bakery,18
temperature,113331930.0,Bakery,19
lag_14,108553320.0,Bakery,20
promo_intensity,5288879174.0,Beverages,1
rolling_mean_7,4226307104.0,Beverages,2
ets_level,3332201690.0,Beverages,3
days_from_holiday,3196806694.0,Beverages,4
temperature,2227735374.0,Beverages,5
avg_discount_pct,2155308912.0,Beverages,6
days_since_promo,2057575754.0,Beverages,7
is_post_holiday,1880719392.0,Beverages,8
days_to_holiday,1666617646.0,Beverages,9
final_price,1419399538.0,Beverages,10
day_of_week,1124183800.0,Beverages,11
temp_deviation,652064826.0,Beverages,12
lag_7,628035430.0,Beverages,13
oos_loss_share,518137170.0,Beverages,14
temp_rolling_avg_14,390030100.0,Beverages,15
day_of_week_cos,378133296.0,Beverages,16
rolling_mean_28,345121240.0,Beverages,17
precipitation,343952370.0,Beverages,18
lag_28,294886400.0,Beverages,19
promo_lag_7,224330480.0,Beverages,20
promo_intensity,2707720995.0,Frozen_Foods,1
days_from_holiday,2442904019.0,Frozen_Foods,2
avg_discount_pct,1761420378.0,Frozen_Foods,3
rolling_mean_7,1687388482.0,Frozen_Foods,4
ets_level,1653080643.0,Frozen_Foods,5
is_post_holiday,1124228326.0,Frozen_Foods,6
days_to_holiday,1004915714.0,Frozen_Foods,7
temperature,962242863.0,Frozen_Foods,8
lag_7,955851033.0,Frozen_Foods,9
days_since_promo,910947667.0,Frozen_Foods,10
final_price,771304003.0,Frozen_Foods,11
day_of_week,532809446.0,Frozen_Foods,12
day_of_week_sin,424100750.0,Frozen_Foods,13
lag_14,329351418.0,Frozen_Foods,14
oos_lag_7,290688212.0,Frozen_Foods,15
precipitation,270851416.0,Frozen_Foods,16
oos_loss_share,242153984.0,Frozen_Foods,17
lag_28,231093712.0,Frozen_Foods,18
base_price,209605546.0,Frozen_Foods,19
temp_deviation,173312670.0,Frozen_Foods,20
